"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",66.38031,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",69.30578,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",71.41862,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",73.36893,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",75.08707,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",77.08382,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",79.82354,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",81.7042,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",85.25656,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",86.76573,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",89.25006,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",92.22196,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",93.80079,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",96.12259,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",98.51405,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",99.97678,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",101.2538,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",103.2737,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",105.2473,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",106.9422,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOBSA","Index, s.a","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",107.8709,,
"AUS","Australia","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","1955","1955","IDX","Index","0","Units","2015_100","2015=100",6.504794,,
"AUS","Australia","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","1956","1956","IDX","Index","0","Units","2015_100","2015=100",6.980649,,
"AUS","Australia","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","1957","1957","IDX","Index","0","Units","2015_100","2015=100",6.879449,,
"AUS","Australia","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","1958","1958","IDX","Index","0","Units","2015_100","2015=100",6.939738,,
"AUS","Australia","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","1959","1959","IDX","Index","0","Units","2015_100","2015=100",7.146445,,
"AUS","Australia","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","1960","1960","IDX","Index","0","Units","2015_100","2015=100",7.538326,,
"AUS","Australia","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","1961","1961","IDX","Index","0","Units","2015_100","2015=100",7.779483,,
